Title,Author,Year,DOI,Venue,Link,Publisher,Abstract,Basic-Testing4Quantum?,Basic-QSTAndEmpirical?
Buildung Continuous Quantum-Classical Bayesian Neural Networks for a Classical Clinical Dataset,"Sakhnenko, Alona and Sikora, Julian and Lorenz, Jeanette",2024.0,10.1145/3665870.3665872,Proceedings of Recent Advances in Quantum Computing and Technology,https://doi.org/10.1145/3665870.3665872,Association for Computing Machinery,"In this work, we are introducing a Quantum-Classical Bayesian Neural Network (QCBNN) that is capable to perform uncertainty-aware classification of classical medical dataset. This model is a symbiosis of a classical Convolutional NN that performs ultra-sound image processing and a quantum circuit that generates its stochastic weights, within a Bayesian learning framework. To test the utility of this idea for the possible future deployment in the medical sector we track multiple behavioral metrics that capture both predictive performance as well as model’s uncertainty. It is our ambition to create a hybrid model that is capable to classify samples in a more uncertainty aware fashion, which will advance the trustworthiness of these models and thus bring us step closer to utilizing them in the industry. We test multiple setups for quantum circuit for this task, and our best architectures display bigger uncertainty gap between correctly and incorrectly identified samples than its classical benchmark at an expense of a slight drop in predictive performance. The innovation of this paper is two-fold: (1) combining of different approaches that allow the stochastic weights from the quantum circuit to be continues thus allowing the model to classify application-driven dataset; (2) studying architectural features of quantum circuit that make-or-break these models, which pave the way into further investigation of more informed architectural designs.",[N],N/A
Advancing Quantum Software Engineering: A Vision of Hybrid Full-Stack Iterative Model,"Khan, Arif and Taibi, Davide and M. Perrault, C\'{e}cile and Akbar, Muhammad Azeem",2025.0,10.1145/3672608.3707725,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,https://doi.org/10.1145/3672608.3707725,Association for Computing Machinery,"This paper introduces a vision for Quantum Software Development lifecycle, proposing a hybrid full-stack iterative model that integrates quantum and classical computing. Addressing the current challenges in Quantum Computing (QC) such as the need for integrating diverse programming languages and managing the complexities of quantum-classical systems, this model is rooted in the principles of DevOps and continuous software engineering. It presents a comprehensive lifecycle for quantum software development, encompassing quantum-agnostic coding, testing, deployment, cloud computing services, orchestration, translation, execution, and interpretation phases. Each phase is designed to accommodate the unique demands of QC, enabling traditional software developers to engage with QC environments without needing in-depth QC expertise. The paper presents a detailed implementation roadmap, utilizing a range of existing tools and frameworks, thereby making quantum software development more accessible and efficient. The proposed model not only addresses current challenges in quantum software development but also makes a substantial contribution to the field of Quantum Software Engineering (QSE). By proposing a structured and accessible model, it sets the stage for further advancements and research in QSE, enhancing its practicality and relevance in a wide range of applications.",[N],N/A
MQT Predictor: Automatic Device Selection with Device-Specific Circuit Compilation for Quantum Computing,"Quetschlich, Nils and Burgholzer, Lukas and Wille, Robert",2025.0,10.1145/3673241,ACM Transactions on Quantum Computing,https://doi.org/10.1145/3673241,Association for Computing Machinery,"Fueled by recent accomplishments in quantum computing hardware and software, an increasing number of problems from various application domains are being explored as potential use cases for this new technology. Similarly to classical computing, realizing an application on a particular quantum device requires the corresponding (quantum) circuit to be compiled so that it can be executed on the device. With a steadily growing number of available devices—each with their own advantages and disadvantages—and a wide variety of different compilation tools, the number of choices to consider when trying to realize an application is quickly exploding. Due to missing tool support and automation, especially end-users who are not quantum computing experts are easily left unsupported and overwhelmed.In this work, we propose a methodology that allows one to automatically select a suitable quantum device for a particular application and provides an optimized compiler for the selected device. The resulting framework—called the MQT&nbsp;Predictor—not only supports end-users in navigating the vast landscape of choices, it also allows mixing and matching compiler passes from various tools to create optimized compilers that transcend the individual tools. Evaluations of an exemplary framework instantiation based on more than 500 quantum circuits and seven devices have shown that—compared with both Qiskit’s and TKET’s most optimized compilation flows for all devices—the MQT&nbsp;Predictor produces circuits within the top-3 out of 14 baselines in more than 98% of cases while frequently outperforming any tested combination by up to 53% when optimizing for expected fidelity. Additionally, the framework is trained and evaluated for critical depth as another figure of merit to showcase its flexibility and generalizability—producing circuits within the top-3 in 89% of cases while frequently outperforming any tested combination by up to 400%. MQT&nbsp;Predictor is part of the Munich Quantum Toolkit&nbsp;(MQT) and publicly available as open-source on GitHub () and as an easy-to-use Python package ().",[N],N/A
SIGACT News Complexity Theory Column 121,"Lee Volk, Ben",2024.0,10.1145/3674159.3674165,SIGACT News,https://doi.org/10.1145/3674159.3674165,Association for Computing Machinery,"This month, Pranjal Dutta and Sumanta Ghosh contributed an in-depth survey on the Polynomial Identity Testing problem, and the efforts made towards obtaining deterministic algorithms for testing identities for various models of algebraic circuits. I wish to thank Pranjal and Sumanta for their thorough work. I hope you enjoy reading their article.On the next issues of SIGACT News, you can expect columns by Dean Doron (probably on probably on binary codes and the GV bound, but stay tuned!), by Stacey Jeffrey (on Quantum Las Vegas Algorithms and Composition), by Igor Carboni Oliveira (on Complexity Theory in Bounded Arithmetic: Recent Results and Current Frontiers) and by Noam Mazor (topic TBA).",[N],N/A
BQSim: GPU-accelerated Batch Quantum Circuit Simulation using Decision Diagram,"Jiang, Shui and Chung, Yi-Hua and Chang, Chih-Chun and Ho, Tsung-Yi and Huang, Tsung-Wei",2025.0,,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",https://doi.org/10.1145/3676641.3715984,Association for Computing Machinery,"Quantum circuit simulation (QCS) plays an important role in the designs and analysis of a quantum algorithm, as it assists researchers in understanding how quantum operations work without accessing expensive quantum computers. Despite many QCS methods, they are largely limited to simulating one input at a time. However, many simulation-driven quantum computing applications, such as testing and verification, require simulating multiple inputs to reason a quantum algorithm under different scenarios. We refer to this type of QCS as batch quantum circuit simulation (BQCS). In this paper, we present BQSim, a GPU-accelerated batch quantum circuit simulator. BQSim is inspired by the state-of-the-art decision diagram (DD) that can compactly represent quantum gate matrices, but overcomes its limitation of CPU-centric simulation. Specifically, BQSim uses DD to optimize a quantum circuit for reduced BQCS computation and converts DD to a GPU-efficient data structure. Additionally, BQSim employs a task graph-based execution strategy to minimize repetitive kernel call overhead and efficiently overlap kernel execution with data movement. Compared with three state-of-the-art quantum circuit simulators, cuQuantum, Qiskit Aer, and FlatDD, BQSim is 3.25\texttimes{}, 159.06\texttimes{}, and 311.42\texttimes{} faster on average.",[N],N/A
Test Case Minimization with Quantum Annealers,"Wang, Xinyi and Muqeet, Asmar and Yue, Tao and Ali, Shaukat and Arcaini, Paolo",2024.0,10.1145/3680467,ACM Trans. Softw. Eng. Methodol.,https://doi.org/10.1145/3680467,Association for Computing Machinery,"Quantum annealers are specialized quantum computers for solving combinatorial optimization problems with special quantum computing characteristics, e.g., superposition and entanglement. Theoretically, quantum annealers can outperform classic computers. However, current quantum annealers are constrained by a limited number of qubits and cannot demonstrate quantum advantages. Nonetheless, research is needed to develop novel mechanisms to formulate combinatorial optimization problems for quantum annealing (QA). However, QA applications in software engineering remain unexplored. Thus, we propose BootQA, the very first effort at solving test case minimization (TCM) problems on classical software with QA. We provide a novel TCM formulation for QA and utilize bootstrap sampling to optimize the qubit usage. We also implemented our TCM formulation in three other optimization processes: simulated annealing (SA), QA without problem decomposition, and QA with an existing D-Wave problem decomposition strategy, and conducted an empirical evaluation with three real-world TCM datasets. Results show that BootQA outperforms QA without problem decomposition and QA with the existing decomposition strategy regarding effectiveness. Moreover, BootQA’s effectiveness is similar to SA. Finally, BootQA has higher efficiency in terms of time when solving large TCM problems than the other three optimization processes.",[N],N/A
Impact of Unreliable Devices on Stability of Quantum Computations,"Dasgupta, Samudra and Humble, Travis",2024.0,10.1145/3682071,ACM Transactions on Quantum Computing,https://doi.org/10.1145/3682071,Association for Computing Machinery,"Noisy intermediate-scale quantum (NISQ) devices are valuable platforms for testing the tenets of quantum computing, but these devices are susceptible to errors arising from de-coherence, leakage, cross-talk, and other sources of noise. This raises concerns regarding the stability of results when using NISQ devices since strategies for mitigating errors generally require well-characterized and stationary error models. Here, we quantify the reliability of NISQ devices by assessing the necessary conditions for generating stable results within a given tolerance. We use similarity metrics derived from device characterization data to derive and validate bounds on the stability of a 5-qubit implementation of the Bernstein-Vazirani&nbsp;algorithm. Simulation experiments conducted with noise data from IBM washington, spanning January 2022 to April 2023, revealed that the reliability metric fluctuated between 41% and 92%. This variation significantly surpasses the maximum allowable threshold of 2.2% needed for stable outcomes. Consequently, the device proved unreliable for consistently reproducing the statistical mean in the context of the Bernstein-Vazirani&nbsp;circuit.",[N],N/A
QuanTest: Entanglement-Guided Testing of Quantum Neural Network Systems,"Shi, Jinjing and Xiao, Zimeng and Shi, Heyuan and Jiang, Yu and Li, Xuelong",2025.0,10.1145/3688840,ACM Trans. Softw. Eng. Methodol.,https://doi.org/10.1145/3688840,Association for Computing Machinery,"Quantum Neural Network (QNN) combines the deep learning (DL) principle with the fundamental theory of quantum mechanics to achieve machine learning tasks with quantum acceleration. Recently, QNN systems have been found to manifest robustness issues similar to classical DL systems. There is an urgent need for ways to test their correctness and security. However, QNN systems differ significantly from traditional quantum software and classical DL systems, posing critical challenges for QNN testing. These challenges include the inapplicability of traditional quantum software testing methods to QNN systems due to differences in programming paradigms and decision logic representations, the dependence of quantum test sample generation on perturbation operators, and the absence of effective information in quantum neurons. In this article, we propose QuanTest, a quantum entanglement-guided adversarial testing framework to uncover potential erroneous behaviors in QNN systems. We design a quantum entanglement adequacy criterion to quantify the entanglement acquired by the input quantum states from the QNN system, along with two similarity metrics to measure the proximity of generated quantum adversarial examples to the original inputs. Subsequently, QuanTest formulates the problem of generating test inputs that maximize the quantum entanglement adequacy and capture incorrect behaviors of the QNN system as a joint optimization problem and solves it in a gradient-based manner to generate quantum adversarial examples. Experimental results demonstrate that QuanTest possesses the capability to capture erroneous behaviors in QNN systems (generating 67.48–96.05% more high-quality test samples than the random noise under the same perturbation size constraints). The entanglement-guided approach proves effective in adversarial testing, generating more adversarial examples (maximum increase reached 21.32%).",[Y],[Y]
Automatic Test Pattern Generation for Robust Quantum Circuit Testing,"Chen, Kean and Ying, Mingsheng",2024.0,10.1145/3689333,ACM Trans. Des. Autom. Electron. Syst.,https://doi.org/10.1145/3689333,Association for Computing Machinery,"Quantum circuit testing is essential for detecting potential faults in realistic quantum devices, while the testing process itself also suffers from the inexactness and unreliability of quantum operations. This article alleviates the issue by proposing a novel framework of automatic test pattern generation (ATPG) for robust testing of logical quantum circuits. We introduce the stabilizer projector decomposition (SPD) for representing the quantum test pattern and construct the test application (i.e., state preparation and measurement) using Clifford-only circuits, which are rather robust and efficient as evidenced in the fault-tolerant quantum computation. However, it is generally hard to generate SPDs due to the exponentially growing number of the stabilizer projectors. To circumvent this difficulty, we develop an SPD generation algorithm, as well as several acceleration techniques that can exploit both locality and sparsity in generating SPDs. The effectiveness of our algorithms are validated by (1) theoretical guarantees under reasonable conditions and (2) experimental results on commonly used benchmark circuits, such as Quantum Fourier Transform (QFT), Quantum Volume (QV), and Bernstein-Vazirani (BV) in IBM Qiskit.",[Y],[Y]
Full-Stack Collaboration for Robust Heterogeneity-Enabled AI Systems,"Qiu, Yuxin",2024.0,10.1145/3689491.3691817,"COMPANION PROCEEDINGS OF THE 2024 ACM SIGPLAN INTERNATIONAL CONFERENCE ON SYSTEMS, PROGRAMMING, LANGUAGES, AND APPLICATIONS: SOFTWARE FOR HUMANITY, SPLASH COMPANION 2024",https://doi.org/10.1145/3689491.3691817,Association for Computing Machinery,"In this new era of AI with diverse hardware accelerators such as GPUs and quantum circuits, achieving system-wide robustness requires tackling issues throughout all system layers, spanning from software applications to hardware components. My research is to enhance the robustness of heterogeneity-enabled AI systems by reinventing software testing and analysis techniques via leveraging full-stack insights and advanced AI capabilities. I have completed one research project and have collaborated on a couple of others at the application and language levels. As the next steps, I will explore (1) holistic regression testing to prioritize test inputs associated with system-wide changes and (2) full-stack analysis to optimize computing resource allocation and reduce hardware reliance by analyzing application characteristics and using alternative resources in tandem.",[N],N/A
Statistical Testing of Quantum Programs via Fixed-Point Amplitude Amplification,"Kang, Chan Gu and Lee, Joonghoon and Oh, Hakjoo",2024.0,10.1145/3689716,Proc. ACM Program. Lang.,https://doi.org/10.1145/3689716,Association for Computing Machinery,"We present a new technique for accelerating quantum program testing. Given a quantum circuit with an input/output specification, our goal is to check whether executing the program on the input state produces the expected output. In quantum computing, however, it is impossible to directly check the equivalence of the two quantum states. Instead, we rely on statistical testing, which involves repeated program executions, state measurements, and subsequent comparisons with the specified output. To guarantee a high level of assurance, however, this method requires an extensive number of measurements. In this paper, we propose a solution to alleviate this challenge by adapting Fixed-Point Amplitude Amplification (FPAA) for quantum program testing. We formally present our technique, demonstrate its ability to reduce the required number of measurements as well as runtime cost without sacrificing the original statistical guarantee, and showcase its runtime effectiveness through case studies.",[Y],[Y]
Quantum Program Testing Through Commuting Pauli Strings on IBM's Quantum Computers,"Muqeet, Asmar and Ali, Shaukat and Arcaini, Paolo",2024.0,10.1145/3691620.3695275,"PROCEEDINGS OF 2024 39TH ACM/IEEE INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING, ASE 2024",https://doi.org/10.1145/3691620.3695275,Association for Computing Machinery,"The most promising applications of quantum computing are centered around solving search and optimization tasks, particularly in fields such as physics simulations, quantum chemistry, and finance. However, the current quantum software testing methods face practical limitations when applied in industrial contexts: (i) they do not apply to quantum programs most relevant to the industry, (ii) they require a full program specification, which is usually not available for these programs, and (iii) they are incompatible with error mitigation methods currently adopted by main industry actors like IBM. To address these challenges, we present QOPS, a novel quantum software testing approach. QOPS introduces a new definition of test cases based on Pauli strings to improve compatibility with different quantum programs. QOPS also introduces a new test oracle that can be directly integrated with industrial APIs such as IBM’s Estimator API and can utilize error mitigation methods for testing on real noisy quantum computers. We also leverage the commuting property of Pauli strings to relax the requirement of having complete program specifications, making QOPS practical for testing complex quantum programs in industrial settings. We empirically evaluate QOPS on 194,982 real quantum programs, demonstrating effective performance in test assessment compared to the state-of-the-art with a perfect F1-score, precision, and recall. Furthermore, we validate the industrial applicability of QOPS by assessing its performance on IBM’s three real quantum computers, incorporating both industrial and open-source error mitigation methods.CCS Concepts• Software and its engineering → Correctness; • Theory of computation → Quantum computation theory; • Computer systems organization → Quantum computing",[Y],[Y]
MorphQ++: A Reproducibility Study of Metamorphic Testing on Quantum Compilers,"Kitt, Linsey J. and Cohen, Myra B.",2024.0,10.1145/3695750.3695823,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering Workshops,https://doi.org/10.1145/3695750.3695823,Association for Computing Machinery,"Quantum computing has been rapidly expanding, and many platforms for writing programs that can be compiled and run on quantum hardware (or simulated) are being developed. As with any compiler, transformation correctness is paramount as the machine readable code must maintain program semantics. Quantum programs are challenging to test given a lack of benchmark programs and the difficulty of defining an oracle. MorphQ solves both of these challenges by (1) generating syntactically correct quantum programs and (2) using metamorphic testing to avoid the oracle problem. However, Qiskit, the compiler it was built for, is rapidly evolving. This paper is a reproducibility study of the MorphQ platform, which we call MorphQ++. We have updated the core MorphQ engine to work on a newer version of Qiskit and added new metamorphic transformations. We find that our overall results are similar: we find a portion of the original faults (which were not yet fixed) and the distributions of types are not very different. Our new transformations lead to several new faults, suggesting there is room to expand the core framework. Additionally, we note the lack of power of the metamorphic relations in this context and suggest the need for more sophisticated relations and/or oracle evaluations.CCS CONCEPTS• Software and its engineering → Software testing and debugging, • Hardware → Quantum technologies.",[Y],[N]
Practical Design by Contract Framework for Quantum Applications,"Yamaguchi, Masaomi and Yoshioka, Nobukazu and Ishikawa, Fuyuki",2025.0,10.1145/3696630.3731621,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,https://doi.org/10.1145/3696630.3731621,Association for Computing Machinery,"Quantum application development typically involves verifying the construction procedures of quantum applications with a few qubits and running them on actual quantum computers based on the verified procedures. However, existing verification techniques face practical issues, such as the need for human intervention, long verification times, and insufficient descriptions. This study introduces a practical Design by Contract framework for quantum applications, designed for testing and debugging quantum applications on simulators. It allows for writing assertions about the input and output states of quantum circuits constructed by certain procedures and the post-processing of measurement results. The quantum application can be verified quickly by checking these assertions in test cases on simulators. Our framework introduces practical mechanisms for quantum application development. It separates the construction procedure of a quantum application and its assertions through parameter distinction, introduces an evaluation rule for early precondition checking, and reduces assertion-writing effort through assertion reuse mechanisms for inverting quantum circuits and using quantum circuits for qubits in a superposition state. We validated our framework through experiments and surveyed industry quantum computer researchers to assess its effectiveness.",[Y],[Y]
A Comparison of Classical and Quantum Neural Network Algorithms for Malware Detection,"Vyas, Arshiya and Lo, Dan and Zhang, Xinyue",2025.0,10.1145/3696673.3723063,Proceedings of the 2025 ACM Southeast Conference,https://doi.org/10.1145/3696673.3723063,Association for Computing Machinery,"In recent years, malicious software has risen in both number and effectiveness of attacks, particularly due to the increased utilization of machine learning and even quantum computing by cybercriminals. This research addresses the disparity between these rapidly progressing technologies and the lack of advanced cybersecurity systems in nearly half of all American small businesses by creating accessible malware detection software on Google Colaboratory, a cloud-based software hosting service. Neural networks (NN), a common machine learning model for cybersecurity tasks, were created with both classical and simulated quantum computing using Python libraries, starter code, and an Android malware dataset. The average F1 score of accuracy of the classical NN, 0.6928, was slightly higher than the average F1 score of the quantum NN, 0.6406. However, a two-sample t-test found that the true means of both populations of F1 scores were statistically equal, indicating no difference in accuracy between classical and simulated quantum neural networks at this time. Differences in resource efficiency could not accurately be assessed, because although the quantum neural network was simulated on a classical computer and had a much higher runtime, a quantum neural network running on a quantum computer can be significantly faster than a classical neural network running on a classical computer for certain types of problems; this is because of unique quantum properties like superposition and entanglement that allow complex calculations to be performed much more efficiently. This research does find, however, that features related to the services or transactions of Android applications had higher correlations with malicious/benign software status, the change in runtime of a classical NN on Google Colaboratory was roughly linear over a large range of sample sizes, and two iterations of text segments and comments within the software improved the usability of the tool. Overall, the study develops a methodology for creating and evaluating open-source quantum and classical machine learning cybersecurity software for small businesses.",[N],N/A
How Aware Are We of Test Smells in Quantum Software Systems? A Preliminary Empirical Evaluation,"Virg\'{\i}nio, T\'{a}ssio and Bastos, Larissa and Bezerra, Carla and Ribeiro, M\'{a}rcio and Machado, Ivan",2024.0,10.1145/3701625.3701676,Proceedings of the XXIII Brazilian Symposium on Software Quality,https://doi.org/10.1145/3701625.3701676,Association for Computing Machinery,"Context: With the rapid progress of quantum computing, Quantum Software Engineering (QSE) is establishing itself as an essential discipline to support developers throughout all stages of quantum software development. The area of testing in quantum systems has received greater attention in research on this topic to guarantee the quality and reliability of these technologies. Objective: This paper presents an empirical study focused on the testing of quantum software at its classical layer. Specifically, it aims to identify and analyze the unique characteristics of quantum software tests, particularly in terms of Test Smells, their distribution, recurrence, and differences compared to classical software tests. Method: We used two sets of software from previous studies, one comprising 12 quantum software and the other comprising 80 classical software. From these datasets, we conducted an analysis to detect 10 test smells, allowing us to map their dispersion in quantum software, identify their specific characteristics, and draw comparisons with classical software. Results: Our findings reveal a high dispersion of test smells of 51% in quantum software. Furthermore, quantum tests exhibit statistical differences from classical software tests, with the most outlier being Conditional Test Logic, which is 20% more frequent than in classical software. Conclusions: The insights gained from this study can contribute to enhancing the quality, maintainability, and readability of tests written for the classical layer of quantum software. Ultimately, this can improve the overall understanding and quality of quantum software.",[Y],[N]
Genetic Improvement of Dynamic Optimization Algorithms using PushGP,"Stanovov, Vladimir and Semenkin, Eugene",2025.0,10.1145/3712255.3734281,Proceedings of the Genetic and Evolutionary Computation Conference Companion,https://doi.org/10.1145/3712255.3734281,Association for Computing Machinery,"In this paper the idea of automatic improvement of existing heuristic optimization algorithms using genetic programming is investigated. In particular, the Push genetic programming system is used to generate new local search heuristics for the multi-swarm quantum swarm optimization method using the generalized moving peaks benchmark. The best designed heuristic is then applied to a more advanced dynamic optimizer, the adaptive multi-population particle swarm optimization algorithm. The results indicate that the generated heuristic, being unlike any known, allows significant improvement of algorithm performance on most of the test problems of the CEC 2025 competition on dynamic optimization generated by generalized moving peaks benchmark.",[N],N/A
Faster and Better Quantum Software Testing through Specification Reduction and Projective Measurements,"Oldfield, Noah H. and Laaber, Christoph and Yue, Tao and Ali, Shaukat",2025.0,10.1145/3714468,ACM Trans. Softw. Eng. Methodol.,https://doi.org/10.1145/3714468,Association for Computing Machinery,"Quantum computing (QC) promises polynomial and exponential speedups in many domains, such as unstructured search and prime number factoring. However, quantum programs yield probabilistic outputs from exponentially growing distributions and are vulnerable to quantum-specific faults. Existing quantum software testing (QST) approaches treat quantum superpositions as classical distributions. This leads to two major limitations when applied to quantum programs: (1) an exponentially growing sample space distribution and (2) failing to detect quantum-specific faults such as phase flips. To overcome these limitations, we introduce a QST approach, which applies a reduction algorithm to a quantum program specification. The reduced specification alleviates the limitations (1) by enabling faster sampling through quantum parallelism and (2) by performing projective measurements in the mixed Hadamard basis. Our evaluation of 143 quantum programs across four categories demonstrates significant improvements in test runtimes and fault detection with our reduction approach. Average test runtimes improved from 169.9 s to 11.8 s, with notable enhancements in programs with large circuit depths (383.1 s to 33.4 s) and large program specifications (464.8 s to 7.7 s). Furthermore, our approach increases mutation scores from  (54.5%)  to  (74.7%) , effectively detecting phase flip faults that non-reduced specifications miss. These results underline our approach's importance to improve QST efficiency and effectiveness.",[Y],[Y]
HornBro: Homotopy-Like Method for Automated Quantum Program Repair,"Tan, Siwei and Lu, Liqiang and Xiang, Debin and Chu, Tianyao and Lang, Congliang and Chen, Jintao and Hu, Xing and Yin, Jianwei",2025.0,10.1145/3715751,Proc. ACM Softw. Eng.,https://doi.org/10.1145/3715751,Association for Computing Machinery,"Quantum programs provide exponential speedups compared to classical programs in certain areas, but they also inevitably encounter logical faults. Automatically repairing quantum programs is much more challenging than repairing classical programs due to the non-replicability of data, the vast search space of program inputs, and the new programming paradigm. Existing works based on semantic-based or learning-based program repair techniques are fundamentally limited in repairing efficiency and effectiveness. In this work, we propose HornBro, an efficient framework for automated quantum program repair. The key insight of HornBro lies in the homotopy-like method, which iteratively switches between the classical and quantum parts. This approach allows the repair tasks to be efficiently offloaded to the most suitable platforms, enabling a progressive convergence toward the correct program. We start by designing an implication assertion pragma to enable rigorous specifications of quantum program behavior, which helps to generate a quantum test suite automatically. This suite leverages the orthonormal bases of quantum programs to accommodate different encoding schemes. Given a fixed number of test cases, it allows the maximum input coverage of potential counter-example candidates. Then, we develop a Clifford approximation method with an SMT-based search to transform the patch localization program into a symbolic reasoning problem. Finally, we offload the computationally intensive repair of gate parameters to quantum hardware by leveraging the differentiability of quantum gates. Experiments suggest that HornBro increases the repair success rate by more than 62.5% compared to the existing repair techniques, supporting more types of quantum bugs. It also achieves 35.7\texttimes{} speedup in the repair and 99.9% gate reduction of the patch.",[Y],[Y]
Adversarial Data Poisoning Attack on Quantum Machine Learning in the NISQ Era,"Kundu, Satwik and Ghosh, Swaroop",2025.0,10.1145/3716368.3735244,Proceedings of the Great Lakes Symposium on VLSI 2025,https://doi.org/10.1145/3716368.3735244,Association for Computing Machinery,"With the growing interest in Quantum Machine Learning (QML) and the increasing availability of quantum computers through cloud providers, addressing the potential security risks associated with QML has become an urgent priority. One key concern in the QML domain is the threat of data poisoning attacks in the current quantum cloud setting. Adversarial access to training data could severely compromise the integrity and availability of QML models. Classical data poisoning techniques require significant knowledge and training to generate poisoned data, and lack noise resilience, making them ineffective for QML models in the Noisy Intermediate Scale Quantum (NISQ) era. In this work, we first propose a simple yet effective technique to measure intra-class encoder state similarity (ESS) by analyzing the outputs of encoding circuits. Leveraging this approach, we introduce a Quantum Indiscriminate Data Poisoning attack, QUID. Through extensive experiments conducted in both noiseless and noisy environments (e.g., IBM_Brisbane’s noise), across various architectures and datasets, QUID achieves up to ( 92% ) accuracy degradation in model performance compared to baseline models and up to ( 75% ) accuracy degradation compared to random label-flipping. We also tested QUID against state-of-the-art classical defenses, with accuracy degradation still exceeding ( 50% ), demonstrating its effectiveness. This work represents the first attempt to reevaluate data poisoning attacks in the context of QML.",[N],N/A
The State Hidden Subgroup Problem and an Efficient Algorithm for Locating Unentanglement,"Bouland, Adam and Giurgic\u{a}-Tiron, Tudor and Wright, John",2025.0,10.1145/3717823.3718118,Proceedings of the 57th Annual ACM Symposium on Theory of Computing,https://doi.org/10.1145/3717823.3718118,Association for Computing Machinery,"We study a generalization of entanglement testing which we call the “hidden cut problem.” Taking as input copies of an n-qubit pure state which is product across an unknown bipartition, the goal is to learn precisely where the state is unentangled, i.e. to determine which of the exponentially many possible cuts separates the state. We give a polynomial-time quantum algorithm which can find the cut using O(n/є2) many copies of the state, which is optimal up to logarithmic factors. Our algorithm also generalizes to learn the entanglement structure of arbitrary product states. In the special case of Haar-random states, we further show that our algorithm requires circuits of only constant depth. To develop our algorithm, we introduce a state generalization of the hidden subgroup problem (StateHSP) which might be of independent interest, in which one is given a quantum state invariant under an unknown subgroup action, with the goal of learning the hidden symmetry subgroup. We show how the hidden cut problem can be formulated as a StateHSP with a carefully chosen Abelian group action. We then prove that Fourier sampling on the hidden cut state produces similar outcomes as a variant of the well-known Simon’s problem, allowing us to find the hidden cut efficiently. Therefore, our algorithm can be interpreted as an extension of Simon’s algorithm to entanglement testing. We discuss possible applications of StateHSP and hidden cut problems to cryptography and pseudorandomness.",[N],N/A
Quantum LDPC Codes with Transversal Non-Clifford Gates via Products of Algebraic Codes,"Golowich, Louis and Lin, Ting-Chun",2025.0,10.1145/3717823.3718139,Proceedings of the 57th Annual ACM Symposium on Theory of Computing,https://doi.org/10.1145/3717823.3718139,Association for Computing Machinery,"For every integer r≥ 2 and every є&gt;0, we construct an explicit infinite family of quantum LDPC codes supporting a transversal Cr−1Z gate with length N, dimension K≥ N1−є, distance D≥ N1/r/poly(logN), and stabilizer weight w≤ poly(logN). The previous state of the art construction (in most parameter regimes) was the r-dimensional color code, which has only constant dimension K=O(1), and otherwise has the same parameters up to polylogarithmic factors. Our construction provides the first known codes with low-weight stabilizers that are capable of magic state distillation with arbitrarily small yield parameter γ=log(N/K)/log(D)&gt;0.  A classical analogue of transversal Cr−1Z gates is given by the multiplication property, which requires component-wise products of classical codewords to belong to another similar code. As a byproduct of our techniques, we also obtain a new construction of classical locally testable codes with such a multiplication property.  We construct our codes as products of chain complexes associated to classical LDPC codes, which in turn we obtain by imposing local Reed-Solomon codes on a specific spectral expander that we construct. We prove that our codes support the desired transversal Cr−1Z gates by using the multiplication property to combine local circuits based on the topological structure.",[N],N/A
Improved Bounds for Testing Low Stabilizer Complexity States,"Mehraban, Saeed and Tahmasbi, Mehrdad",2025.0,10.1145/3717823.3718228,Proceedings of the 57th Annual ACM Symposium on Theory of Computing,https://doi.org/10.1145/3717823.3718228,Association for Computing Machinery,"Stabilizer states are fundamental families of quantum states with crucial applications such as error correction, quantum computation, and simulation of quantum circuits. In this paper, we study the problem of testing how close or far a quantum state is to a stabilizer state. We make two contributions: First, we improve the state-of-the-art parameters for the tolerant testing of stabilizer states. In particular, we show that there is an efficient quantum primitive to distinguish if the maximum fidelity of a quantum state with a stabilizer state is ≥ є1 or ≤ є2, given one of them is the case, provided that є2 ≤ є1O(1). This result improves the parameters in the previous work which assumed є2 ≤ e− 1/є1O(1). Our proof technique extends the toolsets developed in before by applying a random Clifford map which balances the characteristic function of a quantum state, enabling the use of standard proof techniques from higher-order Fourier analysis for Boolean functions, where improved testing bounds are available. Second, we study the problem of testing low stabilizer rank states. We show that if for an infinite family of quantum states stabilizer rank is lower than a constant independent of system size, then stabilizer fidelity is lower bounded by an absolute constant. Using a result on estimating stabilizer fidelity of quantum states, one of the implications of this result is that low approximate stabilizer rank states are not pseudo-random.",[N],N/A
